{'loss': 0.4033, 'grad_norm': 1.7292863130569458, 'learning_rate': 4.980287045028422e-05, 'epoch': 0.04}
{'loss': 0.3975, 'grad_norm': 1.562351107597351, 'learning_rate': 4.979915032290706e-05, 'epoch': 0.04}
{'loss': 0.4025, 'grad_norm': 1.7576587200164795, 'learning_rate': 4.9795430195529895e-05, 'epoch': 0.04}
{'loss': 0.3978, 'grad_norm': 1.7567615509033203, 'learning_rate': 4.979171006815274e-05, 'epoch': 0.04}
{'loss': 0.4004, 'grad_norm': 1.6172453165054321, 'learning_rate': 4.9787989940775576e-05, 'epoch': 0.04}
{'loss': 0.4011, 'grad_norm': 1.6397641897201538, 'learning_rate': 4.978426981339841e-05, 'epoch': 0.04}
{'loss': 0.3949, 'grad_norm': 1.5138031244277954, 'learning_rate': 4.978054968602125e-05, 'epoch': 0.04}
{'loss': 0.3981, 'grad_norm': 1.4683473110198975, 'learning_rate': 4.977682955864409e-05, 'epoch': 0.04}
{'loss': 0.393, 'grad_norm': 1.6927595138549805, 'learning_rate': 4.977310943126693e-05, 'epoch': 0.05}
{'loss': 0.3878, 'grad_norm': 1.6013436317443848, 'learning_rate': 4.976938930388977e-05, 'epoch': 0.05}
{'loss': 0.3849, 'grad_norm': 1.7523566484451294, 'learning_rate': 4.9765669176512605e-05, 'epoch': 0.05}
{'loss': 0.3898, 'grad_norm': 1.6485925912857056, 'learning_rate': 4.976194904913544e-05, 'epoch': 0.05}
{'loss': 0.3882, 'grad_norm': 1.5321612358093262, 'learning_rate': 4.975822892175828e-05, 'epoch': 0.05}
{'loss': 0.3868, 'grad_norm': 1.7487469911575317, 'learning_rate': 4.975450879438112e-05, 'epoch': 0.05}
{'loss': 0.3795, 'grad_norm': 1.7945033311843872, 'learning_rate': 4.975078866700396e-05, 'epoch': 0.05}
{'loss': 0.3829, 'grad_norm': 1.5755019187927246, 'learning_rate': 4.9747068539626804e-05, 'epoch': 0.05}
{'loss': 0.3788, 'grad_norm': 1.5331846475601196, 'learning_rate': 4.9743348412249634e-05, 'epoch': 0.05}
{'loss': 0.3778, 'grad_norm': 1.610938549041748, 'learning_rate': 4.973962828487248e-05, 'epoch': 0.05}
{'loss': 0.3785, 'grad_norm': 1.4549964666366577, 'learning_rate': 4.9735908157495315e-05, 'epoch': 0.05}
{'loss': 0.3754, 'grad_norm': 1.659008264541626, 'learning_rate': 4.973218803011815e-05, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 1.873425006866455, 'learning_rate': 4.9728467902740996e-05, 'epoch': 0.05}
{'loss': 0.3729, 'grad_norm': 1.341679573059082, 'learning_rate': 4.972474777536383e-05, 'epoch': 0.06}
{'loss': 0.3749, 'grad_norm': 1.5177873373031616, 'learning_rate': 4.972102764798667e-05, 'epoch': 0.06}
{'loss': 0.3774, 'grad_norm': 1.5877279043197632, 'learning_rate': 4.971730752060951e-05, 'epoch': 0.06}
{'loss': 0.3727, 'grad_norm': 1.4985978603363037, 'learning_rate': 4.9713587393232344e-05, 'epoch': 0.06}
{'loss': 0.3706, 'grad_norm': 1.3744170665740967, 'learning_rate': 4.970986726585519e-05, 'epoch': 0.06}
{'loss': 0.3666, 'grad_norm': 1.4912221431732178, 'learning_rate': 4.9706147138478025e-05, 'epoch': 0.06}
{'loss': 0.3727, 'grad_norm': 1.8114511966705322, 'learning_rate': 4.970242701110086e-05, 'epoch': 0.06}
{'loss': 0.3669, 'grad_norm': 1.672120213508606, 'learning_rate': 4.96987068837237e-05, 'epoch': 0.06}
{'loss': 0.3699, 'grad_norm': 1.6678844690322876, 'learning_rate': 4.969498675634654e-05, 'epoch': 0.06}
{'loss': 0.3694, 'grad_norm': 1.6116975545883179, 'learning_rate': 4.969126662896938e-05, 'epoch': 0.06}
{'loss': 0.3624, 'grad_norm': 1.4276434183120728, 'learning_rate': 4.968754650159222e-05, 'epoch': 0.06}
{'loss': 0.3651, 'grad_norm': 1.5558348894119263, 'learning_rate': 4.9683826374215054e-05, 'epoch': 0.06}
{'loss': 0.3584, 'grad_norm': 1.5219110250473022, 'learning_rate': 4.968010624683789e-05, 'epoch': 0.06}
{'loss': 0.363, 'grad_norm': 1.7116823196411133, 'learning_rate': 4.9676386119460735e-05, 'epoch': 0.06}
{'loss': 0.3512, 'grad_norm': 1.4981435537338257, 'learning_rate': 4.967266599208357e-05, 'epoch': 0.07}
{'loss': 0.3595, 'grad_norm': 1.6425895690917969, 'learning_rate': 4.966894586470641e-05, 'epoch': 0.07}
{'loss': 0.3611, 'grad_norm': 1.6414024829864502, 'learning_rate': 4.9665225737329247e-05, 'epoch': 0.07}
{'loss': 0.3577, 'grad_norm': 1.4993456602096558, 'learning_rate': 4.9661505609952084e-05, 'epoch': 0.07}
{'loss': 0.356, 'grad_norm': 1.527849555015564, 'learning_rate': 4.965778548257493e-05, 'epoch': 0.07}
{'loss': 0.3577, 'grad_norm': 1.8127061128616333, 'learning_rate': 4.9654065355197765e-05, 'epoch': 0.07}
{'loss': 0.3455, 'grad_norm': 1.5929170846939087, 'learning_rate': 4.96503452278206e-05, 'epoch': 0.07}
{'loss': 0.3541, 'grad_norm': 1.4285578727722168, 'learning_rate': 4.964662510044344e-05, 'epoch': 0.07}
